Driver type,Sex,Age group ,severity,year,result
Motorcycle riders,Female,All ages,FSC (unadjusted),2021,298
Car drivers,Female,Under 16,FSC (unadjusted),2012,2
Car drivers,Female,Under 16,FSC (unadjusted),2013,0
Car drivers,Female,Under 16,FSC (unadjusted),2014,0
Car drivers,Female,Under 16,FSC (unadjusted),2015,0
Car drivers,Female,Under 16,FSC (unadjusted),2016,1
Car drivers,Female,Under 16,FSC (unadjusted),2017,1
Car drivers,Female,Under 16,FSC (unadjusted),2018,0
Car drivers,Female,Under 16,FSC (unadjusted),2019,2
Car drivers,Female,Under 16,FSC (unadjusted),2020,1
Car drivers,Female,Under 16,FSC (unadjusted),2021,1
Car drivers,Female,16,FSC (unadjusted),2012,0
Car drivers,Female,16,FSC (unadjusted),2013,0
Car drivers,Female,16,FSC (unadjusted),2014,1
Car drivers,Female,16,FSC (unadjusted),2015,1
Car drivers,Female,16,FSC (unadjusted),2016,3
Car drivers,Female,16,FSC (unadjusted),2017,1
Car drivers,Female,16,FSC (unadjusted),2018,3
Car drivers,Female,16,FSC (unadjusted),2019,0
Car drivers,Female,16,FSC (unadjusted),2020,1
Car drivers,Female,16,FSC (unadjusted),2021,0
Car drivers,Female,17-20,FSC (unadjusted),2012,584
Car drivers,Female,17-20,FSC (unadjusted),2013,564
Car drivers,Female,17-20,FSC (unadjusted),2014,493
Car drivers,Female,17-20,FSC (unadjusted),2015,438
Car drivers,Female,17-20,FSC (unadjusted),2016,522
Car drivers,Female,17-20,FSC (unadjusted),2017,519
Car drivers,Female,17-20,FSC (unadjusted),2018,547
Car drivers,Female,17-20,FSC (unadjusted),2019,532
Car drivers,Female,17-20,FSC (unadjusted),2020,418
Car drivers,Female,17-20,FSC (unadjusted),2021,430
Car drivers,Female,21-24,FSC (unadjusted),2012,715
Car drivers,Female,21-24,FSC (unadjusted),2013,644
Car drivers,Female,21-24,FSC (unadjusted),2014,657
Car drivers,Female,21-24,FSC (unadjusted),2015,642
Car drivers,Female,21-24,FSC (unadjusted),2016,701
Car drivers,Female,21-24,FSC (unadjusted),2017,694
Car drivers,Female,21-24,FSC (unadjusted),2018,675
Car drivers,Female,21-24,FSC (unadjusted),2019,713
Car drivers,Female,21-24,FSC (unadjusted),2020,545
Car drivers,Female,21-24,FSC (unadjusted),2021,703
Car drivers,Female,25-29,FSC (unadjusted),2012,765
Car drivers,Female,25-29,FSC (unadjusted),2013,761
Car drivers,Female,25-29,FSC (unadjusted),2014,778
Car drivers,Female,25-29,FSC (unadjusted),2015,797
Car drivers,Female,25-29,FSC (unadjusted),2016,859
Car drivers,Female,25-29,FSC (unadjusted),2017,883
Car drivers,Female,25-29,FSC (unadjusted),2018,911
Car drivers,Female,25-29,FSC (unadjusted),2019,951
Car drivers,Female,25-29,FSC (unadjusted),2020,705
Car drivers,Female,25-29,FSC (unadjusted),2021,768
Car drivers,Female,30-39,FSC (unadjusted),2012,1443
Car drivers,Female,30-39,FSC (unadjusted),2013,1294
Car drivers,Female,30-39,FSC (unadjusted),2014,1430
Car drivers,Female,30-39,FSC (unadjusted),2015,1297
Car drivers,Female,30-39,FSC (unadjusted),2016,1537
Car drivers,Female,30-39,FSC (unadjusted),2017,1500
Car drivers,Female,30-39,FSC (unadjusted),2018,1683
Car drivers,Female,30-39,FSC (unadjusted),2019,1742
Car drivers,Female,30-39,FSC (unadjusted),2020,1209
Car drivers,Female,30-39,FSC (unadjusted),2021,1588
Car drivers,Female,40-49,FSC (unadjusted),2012,1463
Car drivers,Female,40-49,FSC (unadjusted),2013,1306
Car drivers,Female,40-49,FSC (unadjusted),2014,1392
Car drivers,Female,40-49,FSC (unadjusted),2015,1348
Car drivers,Female,40-49,FSC (unadjusted),2016,1367
Car drivers,Female,40-49,FSC (unadjusted),2017,1373
Car drivers,Female,40-49,FSC (unadjusted),2018,1391
Car drivers,Female,40-49,FSC (unadjusted),2019,1401
Car drivers,Female,40-49,FSC (unadjusted),2020,1003
Car drivers,Female,40-49,FSC (unadjusted),2021,1249
Car drivers,Female,50-59,FSC (unadjusted),2012,1070
Car drivers,Female,50-59,FSC (unadjusted),2013,964
Car drivers,Female,50-59,FSC (unadjusted),2014,1105
Car drivers,Female,50-59,FSC (unadjusted),2015,1082
Car drivers,Female,50-59,FSC (unadjusted),2016,1189
Car drivers,Female,50-59,FSC (unadjusted),2017,1192
Car drivers,Female,50-59,FSC (unadjusted),2018,1320
Car drivers,Female,50-59,FSC (unadjusted),2019,1316
Car drivers,Female,50-59,FSC (unadjusted),2020,960
Car drivers,Female,50-59,FSC (unadjusted),2021,1135
Car drivers,Female,60-69,FSC (unadjusted),2012,678
Car drivers,Female,60-69,FSC (unadjusted),2013,623
Car drivers,Female,60-69,FSC (unadjusted),2014,699
Car drivers,Female,60-69,FSC (unadjusted),2015,620
Car drivers,Female,60-69,FSC (unadjusted),2016,738
Car drivers,Female,60-69,FSC (unadjusted),2017,685
Car drivers,Female,60-69,FSC (unadjusted),2018,798
Car drivers,Female,60-69,FSC (unadjusted),2019,800
Car drivers,Female,60-69,FSC (unadjusted),2020,573
Car drivers,Female,60-69,FSC (unadjusted),2021,653
Car drivers,Female,70 and over,FSC (unadjusted),2012,583
Car drivers,Female,70 and over,FSC (unadjusted),2013,618
Car drivers,Female,70 and over,FSC (unadjusted),2014,720
Car drivers,Female,70 and over,FSC (unadjusted),2015,638
Car drivers,Female,70 and over,FSC (unadjusted),2016,758
Car drivers,Female,70 and over,FSC (unadjusted),2017,818
Car drivers,Female,70 and over,FSC (unadjusted),2018,878
Car drivers,Female,70 and over,FSC (unadjusted),2019,917
Car drivers,Female,70 and over,FSC (unadjusted),2020,528
Car drivers,Female,70 and over,FSC (unadjusted),2021,664
Car drivers,Female,All ages,FSC (unadjusted),2012,7506
Car drivers,Female,All ages,FSC (unadjusted),2013,6973
Car drivers,Female,All ages,FSC (unadjusted),2014,7487
Car drivers,Female,All ages,FSC (unadjusted),2015,7074
Car drivers,Female,All ages,FSC (unadjusted),2016,7872
Car drivers,Female,All ages,FSC (unadjusted),2017,7824
Car drivers,Female,All ages,FSC (unadjusted),2018,8355
Car drivers,Female,All ages,FSC (unadjusted),2019,8555
Car drivers,Female,All ages,FSC (unadjusted),2020,6065
Car drivers,Female,All ages,FSC (unadjusted),2021,7337
Bus or coach drivers,Female,Under 16,FSC (unadjusted),2012,0
Bus or coach drivers,Female,Under 16,FSC (unadjusted),2013,0
Bus or coach drivers,Female,Under 16,FSC (unadjusted),2014,0
Bus or coach drivers,Female,Under 16,FSC (unadjusted),2015,0
Bus or coach drivers,Female,Under 16,FSC (unadjusted),2016,0
Bus or coach drivers,Female,Under 16,FSC (unadjusted),2017,0
Bus or coach drivers,Female,Under 16,FSC (unadjusted),2018,0
