Driver type,Sex,Age group ,severity,year,result
Heavy goods vehicle drivers,All,Under 16,FSC (unadjusted),2014,0
Heavy goods vehicle drivers,All,Under 16,FSC (unadjusted),2015,0
Heavy goods vehicle drivers,All,Under 16,FSC (unadjusted),2016,0
Heavy goods vehicle drivers,All,Under 16,FSC (unadjusted),2017,0
Heavy goods vehicle drivers,All,Under 16,FSC (unadjusted),2018,0
Heavy goods vehicle drivers,All,Under 16,FSC (unadjusted),2019,0
Heavy goods vehicle drivers,All,Under 16,FSC (unadjusted),2020,0
Heavy goods vehicle drivers,All,Under 16,FSC (unadjusted),2021,0
Heavy goods vehicle drivers,All,16,FSC (unadjusted),2012,0
Heavy goods vehicle drivers,All,16,FSC (unadjusted),2013,0
Heavy goods vehicle drivers,All,16,FSC (unadjusted),2014,0
Heavy goods vehicle drivers,All,16,FSC (unadjusted),2015,0
Heavy goods vehicle drivers,All,16,FSC (unadjusted),2016,0
Heavy goods vehicle drivers,All,16,FSC (unadjusted),2017,0
Heavy goods vehicle drivers,All,16,FSC (unadjusted),2018,1
Heavy goods vehicle drivers,All,16,FSC (unadjusted),2019,0
Heavy goods vehicle drivers,All,16,FSC (unadjusted),2020,0
Heavy goods vehicle drivers,All,16,FSC (unadjusted),2021,0
Heavy goods vehicle drivers,All,17-20,FSC (unadjusted),2012,5
Heavy goods vehicle drivers,All,17-20,FSC (unadjusted),2013,12
Heavy goods vehicle drivers,All,17-20,FSC (unadjusted),2014,4
Heavy goods vehicle drivers,All,17-20,FSC (unadjusted),2015,8
Heavy goods vehicle drivers,All,17-20,FSC (unadjusted),2016,10
Heavy goods vehicle drivers,All,17-20,FSC (unadjusted),2017,4
Heavy goods vehicle drivers,All,17-20,FSC (unadjusted),2018,10
Heavy goods vehicle drivers,All,17-20,FSC (unadjusted),2019,3
Heavy goods vehicle drivers,All,17-20,FSC (unadjusted),2020,6
Heavy goods vehicle drivers,All,17-20,FSC (unadjusted),2021,8
Heavy goods vehicle drivers,All,21-24,FSC (unadjusted),2012,26
Heavy goods vehicle drivers,All,21-24,FSC (unadjusted),2013,29
Heavy goods vehicle drivers,All,21-24,FSC (unadjusted),2014,31
Heavy goods vehicle drivers,All,21-24,FSC (unadjusted),2015,39
Heavy goods vehicle drivers,All,21-24,FSC (unadjusted),2016,28
Heavy goods vehicle drivers,All,21-24,FSC (unadjusted),2017,32
Heavy goods vehicle drivers,All,21-24,FSC (unadjusted),2018,23
Heavy goods vehicle drivers,All,21-24,FSC (unadjusted),2019,27
Heavy goods vehicle drivers,All,21-24,FSC (unadjusted),2020,16
Heavy goods vehicle drivers,All,21-24,FSC (unadjusted),2021,23
Heavy goods vehicle drivers,All,25-29,FSC (unadjusted),2012,66
Heavy goods vehicle drivers,All,25-29,FSC (unadjusted),2013,65
Heavy goods vehicle drivers,All,25-29,FSC (unadjusted),2014,76
Heavy goods vehicle drivers,All,25-29,FSC (unadjusted),2015,78
Heavy goods vehicle drivers,All,25-29,FSC (unadjusted),2016,80
Heavy goods vehicle drivers,All,25-29,FSC (unadjusted),2017,104
Heavy goods vehicle drivers,All,25-29,FSC (unadjusted),2018,92
Heavy goods vehicle drivers,All,25-29,FSC (unadjusted),2019,71
Heavy goods vehicle drivers,All,25-29,FSC (unadjusted),2020,60
Heavy goods vehicle drivers,All,25-29,FSC (unadjusted),2021,54
Heavy goods vehicle drivers,All,30-39,FSC (unadjusted),2012,227
Heavy goods vehicle drivers,All,30-39,FSC (unadjusted),2013,221
Heavy goods vehicle drivers,All,30-39,FSC (unadjusted),2014,217
Heavy goods vehicle drivers,All,30-39,FSC (unadjusted),2015,220
Heavy goods vehicle drivers,All,30-39,FSC (unadjusted),2016,207
Heavy goods vehicle drivers,All,30-39,FSC (unadjusted),2017,228
Heavy goods vehicle drivers,All,30-39,FSC (unadjusted),2018,237
Heavy goods vehicle drivers,All,30-39,FSC (unadjusted),2019,218
Heavy goods vehicle drivers,All,30-39,FSC (unadjusted),2020,178
Heavy goods vehicle drivers,All,30-39,FSC (unadjusted),2021,191
Heavy goods vehicle drivers,All,40-49,FSC (unadjusted),2012,415
Heavy goods vehicle drivers,All,40-49,FSC (unadjusted),2013,371
Heavy goods vehicle drivers,All,40-49,FSC (unadjusted),2014,365
Heavy goods vehicle drivers,All,40-49,FSC (unadjusted),2015,372
Heavy goods vehicle drivers,All,40-49,FSC (unadjusted),2016,316
Heavy goods vehicle drivers,All,40-49,FSC (unadjusted),2017,305
Heavy goods vehicle drivers,All,40-49,FSC (unadjusted),2018,285
Heavy goods vehicle drivers,All,40-49,FSC (unadjusted),2019,277
Heavy goods vehicle drivers,All,40-49,FSC (unadjusted),2020,201
Heavy goods vehicle drivers,All,40-49,FSC (unadjusted),2021,209
Heavy goods vehicle drivers,All,50-59,FSC (unadjusted),2012,324
Heavy goods vehicle drivers,All,50-59,FSC (unadjusted),2013,354
Heavy goods vehicle drivers,All,50-59,FSC (unadjusted),2014,305
Heavy goods vehicle drivers,All,50-59,FSC (unadjusted),2015,346
Heavy goods vehicle drivers,All,50-59,FSC (unadjusted),2016,355
Heavy goods vehicle drivers,All,50-59,FSC (unadjusted),2017,326
Heavy goods vehicle drivers,All,50-59,FSC (unadjusted),2018,334
Heavy goods vehicle drivers,All,50-59,FSC (unadjusted),2019,306
Heavy goods vehicle drivers,All,50-59,FSC (unadjusted),2020,282
Heavy goods vehicle drivers,All,50-59,FSC (unadjusted),2021,310
Heavy goods vehicle drivers,All,60-69,FSC (unadjusted),2012,131
Heavy goods vehicle drivers,All,60-69,FSC (unadjusted),2013,121
Heavy goods vehicle drivers,All,60-69,FSC (unadjusted),2014,166
Heavy goods vehicle drivers,All,60-69,FSC (unadjusted),2015,144
Heavy goods vehicle drivers,All,60-69,FSC (unadjusted),2016,142
Heavy goods vehicle drivers,All,60-69,FSC (unadjusted),2017,117
Heavy goods vehicle drivers,All,60-69,FSC (unadjusted),2018,137
Heavy goods vehicle drivers,All,60-69,FSC (unadjusted),2019,125
Heavy goods vehicle drivers,All,60-69,FSC (unadjusted),2020,111
Heavy goods vehicle drivers,All,60-69,FSC (unadjusted),2021,128
Heavy goods vehicle drivers,All,70 and over,FSC (unadjusted),2012,10
Heavy goods vehicle drivers,All,70 and over,FSC (unadjusted),2013,13
Heavy goods vehicle drivers,All,70 and over,FSC (unadjusted),2014,10
Heavy goods vehicle drivers,All,70 and over,FSC (unadjusted),2015,9
Heavy goods vehicle drivers,All,70 and over,FSC (unadjusted),2016,11
Heavy goods vehicle drivers,All,70 and over,FSC (unadjusted),2017,14
Heavy goods vehicle drivers,All,70 and over,FSC (unadjusted),2018,13
Heavy goods vehicle drivers,All,70 and over,FSC (unadjusted),2019,19
Heavy goods vehicle drivers,All,70 and over,FSC (unadjusted),2020,8
Heavy goods vehicle drivers,All,70 and over,FSC (unadjusted),2021,8
Heavy goods vehicle drivers,All,All ages,FSC (unadjusted),2012,1301
Heavy goods vehicle drivers,All,All ages,FSC (unadjusted),2013,1275
Heavy goods vehicle drivers,All,All ages,FSC (unadjusted),2014,1246
Heavy goods vehicle drivers,All,All ages,FSC (unadjusted),2015,1291
Heavy goods vehicle drivers,All,All ages,FSC (unadjusted),2016,1220
Heavy goods vehicle drivers,All,All ages,FSC (unadjusted),2017,1202
Heavy goods vehicle drivers,All,All ages,FSC (unadjusted),2018,1207
Heavy goods vehicle drivers,All,All ages,FSC (unadjusted),2019,1116
Heavy goods vehicle drivers,All,All ages,FSC (unadjusted),2020,915
Heavy goods vehicle drivers,All,All ages,FSC (unadjusted),2021,986
Other or unknown vehicle drivers,All,Under 16,FSC (unadjusted),2012,13
Other or unknown vehicle drivers,All,Under 16,FSC (unadjusted),2013,5
Other or unknown vehicle drivers,All,Under 16,FSC (unadjusted),2014,13
Other or unknown vehicle drivers,All,Under 16,FSC (unadjusted),2015,9
Other or unknown vehicle drivers,All,Under 16,FSC (unadjusted),2016,12
Other or unknown vehicle drivers,All,Under 16,FSC (unadjusted),2017,14
Other or unknown vehicle drivers,All,Under 16,FSC (unadjusted),2018,13
Other or unknown vehicle drivers,All,Under 16,FSC (unadjusted),2019,14
Other or unknown vehicle drivers,All,Under 16,FSC (unadjusted),2020,25
Other or unknown vehicle drivers,All,Under 16,FSC (unadjusted),2021,69
Other or unknown vehicle drivers,All,16,FSC (unadjusted),2012,5
Other or unknown vehicle drivers,All,16,FSC (unadjusted),2013,3
Other or unknown vehicle drivers,All,16,FSC (unadjusted),2014,6
Other or unknown vehicle drivers,All,16,FSC (unadjusted),2015,2
Other or unknown vehicle drivers,All,16,FSC (unadjusted),2016,3
Other or unknown vehicle drivers,All,16,FSC (unadjusted),2017,6
Other or unknown vehicle drivers,All,16,FSC (unadjusted),2018,2
Other or unknown vehicle drivers,All,16,FSC (unadjusted),2019,7
Other or unknown vehicle drivers,All,16,FSC (unadjusted),2020,11
Other or unknown vehicle drivers,All,16,FSC (unadjusted),2021,11
Other or unknown vehicle drivers,All,17-20,FSC (unadjusted),2012,29
Other or unknown vehicle drivers,All,17-20,FSC (unadjusted),2013,33
Other or unknown vehicle drivers,All,17-20,FSC (unadjusted),2014,29
Other or unknown vehicle drivers,All,17-20,FSC (unadjusted),2015,26
Other or unknown vehicle drivers,All,17-20,FSC (unadjusted),2016,25
Other or unknown vehicle drivers,All,17-20,FSC (unadjusted),2017,24
Other or unknown vehicle drivers,All,17-20,FSC (unadjusted),2018,24
Other or unknown vehicle drivers,All,17-20,FSC (unadjusted),2019,24
Other or unknown vehicle drivers,All,17-20,FSC (unadjusted),2020,49
Other or unknown vehicle drivers,All,17-20,FSC (unadjusted),2021,91
Other or unknown vehicle drivers,All,21-24,FSC (unadjusted),2012,28
Other or unknown vehicle drivers,All,21-24,FSC (unadjusted),2013,27
Other or unknown vehicle drivers,All,21-24,FSC (unadjusted),2014,26
Other or unknown vehicle drivers,All,21-24,FSC (unadjusted),2015,29
Other or unknown vehicle drivers,All,21-24,FSC (unadjusted),2016,42
Other or unknown vehicle drivers,All,21-24,FSC (unadjusted),2017,52
Other or unknown vehicle drivers,All,21-24,FSC (unadjusted),2018,44
Other or unknown vehicle drivers,All,21-24,FSC (unadjusted),2019,48
Other or unknown vehicle drivers,All,21-24,FSC (unadjusted),2020,57
Other or unknown vehicle drivers,All,21-24,FSC (unadjusted),2021,76
Other or unknown vehicle drivers,All,25-29,FSC (unadjusted),2012,35
Other or unknown vehicle drivers,All,25-29,FSC (unadjusted),2013,41
Other or unknown vehicle drivers,All,25-29,FSC (unadjusted),2014,43
Other or unknown vehicle drivers,All,25-29,FSC (unadjusted),2015,47
Other or unknown vehicle drivers,All,25-29,FSC (unadjusted),2016,52
Other or unknown vehicle drivers,All,25-29,FSC (unadjusted),2017,60
Other or unknown vehicle drivers,All,25-29,FSC (unadjusted),2018,76
Other or unknown vehicle drivers,All,25-29,FSC (unadjusted),2019,54
Other or unknown vehicle drivers,All,25-29,FSC (unadjusted),2020,67
Other or unknown vehicle drivers,All,25-29,FSC (unadjusted),2021,108
Other or unknown vehicle drivers,All,30-39,FSC (unadjusted),2012,85
Other or unknown vehicle drivers,All,30-39,FSC (unadjusted),2013,79
Other or unknown vehicle drivers,All,30-39,FSC (unadjusted),2014,70
Other or unknown vehicle drivers,All,30-39,FSC (unadjusted),2015,75
Other or unknown vehicle drivers,All,30-39,FSC (unadjusted),2016,112
Other or unknown vehicle drivers,All,30-39,FSC (unadjusted),2017,142
Other or unknown vehicle drivers,All,30-39,FSC (unadjusted),2018,121
Other or unknown vehicle drivers,All,30-39,FSC (unadjusted),2019,109
Other or unknown vehicle drivers,All,30-39,FSC (unadjusted),2020,141
Other or unknown vehicle drivers,All,30-39,FSC (unadjusted),2021,219
Other or unknown vehicle drivers,All,40-49,FSC (unadjusted),2012,97
Other or unknown vehicle drivers,All,40-49,FSC (unadjusted),2013,84
Other or unknown vehicle drivers,All,40-49,FSC (unadjusted),2014,71
Other or unknown vehicle drivers,All,40-49,FSC (unadjusted),2015,79
Other or unknown vehicle drivers,All,40-49,FSC (unadjusted),2016,118
Other or unknown vehicle drivers,All,40-49,FSC (unadjusted),2017,139
Other or unknown vehicle drivers,All,40-49,FSC (unadjusted),2018,117
Other or unknown vehicle drivers,All,40-49,FSC (unadjusted),2019,105
Other or unknown vehicle drivers,All,40-49,FSC (unadjusted),2020,93
Other or unknown vehicle drivers,All,40-49,FSC (unadjusted),2021,105
Other or unknown vehicle drivers,All,50-59,FSC (unadjusted),2012,62
Other or unknown vehicle drivers,All,50-59,FSC (unadjusted),2013,60
Other or unknown vehicle drivers,All,50-59,FSC (unadjusted),2014,94
Other or unknown vehicle drivers,All,50-59,FSC (unadjusted),2015,78
Other or unknown vehicle drivers,All,50-59,FSC (unadjusted),2016,118
Other or unknown vehicle drivers,All,50-59,FSC (unadjusted),2017,96
Other or unknown vehicle drivers,All,50-59,FSC (unadjusted),2018,120
Other or unknown vehicle drivers,All,50-59,FSC (unadjusted),2019,117
Other or unknown vehicle drivers,All,50-59,FSC (unadjusted),2020,99
Other or unknown vehicle drivers,All,50-59,FSC (unadjusted),2021,118
Other or unknown vehicle drivers,All,60-69,FSC (unadjusted),2012,60
Other or unknown vehicle drivers,All,60-69,FSC (unadjusted),2013,51
Other or unknown vehicle drivers,All,60-69,FSC (unadjusted),2014,36
Other or unknown vehicle drivers,All,60-69,FSC (unadjusted),2015,44
Other or unknown vehicle drivers,All,60-69,FSC (unadjusted),2016,53
Other or unknown vehicle drivers,All,60-69,FSC (unadjusted),2017,65
Other or unknown vehicle drivers,All,60-69,FSC (unadjusted),2018,76
Other or unknown vehicle drivers,All,60-69,FSC (unadjusted),2019,68
Other or unknown vehicle drivers,All,60-69,FSC (unadjusted),2020,47
Other or unknown vehicle drivers,All,60-69,FSC (unadjusted),2021,54
Other or unknown vehicle drivers,All,70 and over,FSC (unadjusted),2012,62
Other or unknown vehicle drivers,All,70 and over,FSC (unadjusted),2013,56
Other or unknown vehicle drivers,All,70 and over,FSC (unadjusted),2014,67
Other or unknown vehicle drivers,All,70 and over,FSC (unadjusted),2015,77
Other or unknown vehicle drivers,All,70 and over,FSC (unadjusted),2016,68
Other or unknown vehicle drivers,All,70 and over,FSC (unadjusted),2017,59
Other or unknown vehicle drivers,All,70 and over,FSC (unadjusted),2018,83
Other or unknown vehicle drivers,All,70 and over,FSC (unadjusted),2019,57
Other or unknown vehicle drivers,All,70 and over,FSC (unadjusted),2020,46
Other or unknown vehicle drivers,All,70 and over,FSC (unadjusted),2021,55
Other or unknown vehicle drivers,All,All ages,FSC (unadjusted),2012,554
Other or unknown vehicle drivers,All,All ages,FSC (unadjusted),2013,512
Other or unknown vehicle drivers,All,All ages,FSC (unadjusted),2014,531
Other or unknown vehicle drivers,All,All ages,FSC (unadjusted),2015,556
Other or unknown vehicle drivers,All,All ages,FSC (unadjusted),2016,763
Other or unknown vehicle drivers,All,All ages,FSC (unadjusted),2017,840
Other or unknown vehicle drivers,All,All ages,FSC (unadjusted),2018,868
Other or unknown vehicle drivers,All,All ages,FSC (unadjusted),2019,782
Other or unknown vehicle drivers,All,All ages,FSC (unadjusted),2020,778
Other or unknown vehicle drivers,All,All ages,FSC (unadjusted),2021,1096
All drivers and riders,All,Under 16,FSC (unadjusted),2012,353
All drivers and riders,All,Under 16,FSC (unadjusted),2013,314
All drivers and riders,All,Under 16,FSC (unadjusted),2014,332
All drivers and riders,All,Under 16,FSC (unadjusted),2015,326
All drivers and riders,All,Under 16,FSC (unadjusted),2016,368
All drivers and riders,All,Under 16,FSC (unadjusted),2017,432
All drivers and riders,All,Under 16,FSC (unadjusted),2018,411
All drivers and riders,All,Under 16,FSC (unadjusted),2019,448
All drivers and riders,All,Under 16,FSC (unadjusted),2020,410
All drivers and riders,All,Under 16,FSC (unadjusted),2021,481
All drivers and riders,All,16,FSC (unadjusted),2012,265
All drivers and riders,All,16,FSC (unadjusted),2013,210
All drivers and riders,All,16,FSC (unadjusted),2014,217
All drivers and riders,All,16,FSC (unadjusted),2015,206
All drivers and riders,All,16,FSC (unadjusted),2016,204
All drivers and riders,All,16,FSC (unadjusted),2017,243
All drivers and riders,All,16,FSC (unadjusted),2018,201
All drivers and riders,All,16,FSC (unadjusted),2019,187
All drivers and riders,All,16,FSC (unadjusted),2020,181
All drivers and riders,All,16,FSC (unadjusted),2021,159
All drivers and riders,All,17-20,FSC (unadjusted),2012,3007
All drivers and riders,All,17-20,FSC (unadjusted),2013,2823
All drivers and riders,All,17-20,FSC (unadjusted),2014,2678
All drivers and riders,All,17-20,FSC (unadjusted),2015,2676
All drivers and riders,All,17-20,FSC (unadjusted),2016,2786
All drivers and riders,All,17-20,FSC (unadjusted),2017,2838
All drivers and riders,All,17-20,FSC (unadjusted),2018,2832
All drivers and riders,All,17-20,FSC (unadjusted),2019,2872
All drivers and riders,All,17-20,FSC (unadjusted),2020,2338
All drivers and riders,All,17-20,FSC (unadjusted),2021,2759
All drivers and riders,All,21-24,FSC (unadjusted),2012,3294
All drivers and riders,All,21-24,FSC (unadjusted),2013,3191
All drivers and riders,All,21-24,FSC (unadjusted),2014,3304
All drivers and riders,All,21-24,FSC (unadjusted),2015,3256
All drivers and riders,All,21-24,FSC (unadjusted),2016,3500
All drivers and riders,All,21-24,FSC (unadjusted),2017,3541
All drivers and riders,All,21-24,FSC (unadjusted),2018,3293
All drivers and riders,All,21-24,FSC (unadjusted),2019,3174
All drivers and riders,All,21-24,FSC (unadjusted),2020,2682
All drivers and riders,All,21-24,FSC (unadjusted),2021,3167
All drivers and riders,All,25-29,FSC (unadjusted),2012,3655
All drivers and riders,All,25-29,FSC (unadjusted),2013,3547
All drivers and riders,All,25-29,FSC (unadjusted),2014,3861
All drivers and riders,All,25-29,FSC (unadjusted),2015,3879
All drivers and riders,All,25-29,FSC (unadjusted),2016,4212
All drivers and riders,All,25-29,FSC (unadjusted),2017,4448
All drivers and riders,All,25-29,FSC (unadjusted),2018,4545
All drivers and riders,All,25-29,FSC (unadjusted),2019,4453
All drivers and riders,All,25-29,FSC (unadjusted),2020,3611
All drivers and riders,All,25-29,FSC (unadjusted),2021,4002
All drivers and riders,All,30-39,FSC (unadjusted),2012,6683
All drivers and riders,All,30-39,FSC (unadjusted),2013,6052
All drivers and riders,All,30-39,FSC (unadjusted),2014,6508
All drivers and riders,All,30-39,FSC (unadjusted),2015,6181
All drivers and riders,All,30-39,FSC (unadjusted),2016,7238
All drivers and riders,All,30-39,FSC (unadjusted),2017,7584
All drivers and riders,All,30-39,FSC (unadjusted),2018,7955
All drivers and riders,All,30-39,FSC (unadjusted),2019,8063
All drivers and riders,All,30-39,FSC (unadjusted),2020,6410
All drivers and riders,All,30-39,FSC (unadjusted),2021,7680
All drivers and riders,All,40-49,FSC (unadjusted),2012,7131
All drivers and riders,All,40-49,FSC (unadjusted),2013,6643
All drivers and riders,All,40-49,FSC (unadjusted),2014,6894
All drivers and riders,All,40-49,FSC (unadjusted),2015,6514
All drivers and riders,All,40-49,FSC (unadjusted),2016,6628
All drivers and riders,All,40-49,FSC (unadjusted),2017,6684
All drivers and riders,All,40-49,FSC (unadjusted),2018,6817
All drivers and riders,All,40-49,FSC (unadjusted),2019,6697
All drivers and riders,All,40-49,FSC (unadjusted),2020,5194
All drivers and riders,All,40-49,FSC (unadjusted),2021,5862
All drivers and riders,All,50-59,FSC (unadjusted),2012,5218
All drivers and riders,All,50-59,FSC (unadjusted),2013,5067
All drivers and riders,All,50-59,FSC (unadjusted),2014,5575
All drivers and riders,All,50-59,FSC (unadjusted),2015,5494
All drivers and riders,All,50-59,FSC (unadjusted),2016,5931
All drivers and riders,All,50-59,FSC (unadjusted),2017,6063
All drivers and riders,All,50-59,FSC (unadjusted),2018,6472
All drivers and riders,All,50-59,FSC (unadjusted),2019,6437
All drivers and riders,All,50-59,FSC (unadjusted),2020,5173
All drivers and riders,All,50-59,FSC (unadjusted),2021,6049
All drivers and riders,All,60-69,FSC (unadjusted),2012,2975
All drivers and riders,All,60-69,FSC (unadjusted),2013,2895
All drivers and riders,All,60-69,FSC (unadjusted),2014,3180
All drivers and riders,All,60-69,FSC (unadjusted),2015,2926
All drivers and riders,All,60-69,FSC (unadjusted),2016,3201
All drivers and riders,All,60-69,FSC (unadjusted),2017,3184
All drivers and riders,All,60-69,FSC (unadjusted),2018,3528
All drivers and riders,All,60-69,FSC (unadjusted),2019,3542
All drivers and riders,All,60-69,FSC (unadjusted),2020,2892
All drivers and riders,All,60-69,FSC (unadjusted),2021,3224
All drivers and riders,All,70 and over,FSC (unadjusted),2012,2199
All drivers and riders,All,70 and over,FSC (unadjusted),2013,2264
All drivers and riders,All,70 and over,FSC (unadjusted),2014,2478
All drivers and riders,All,70 and over,FSC (unadjusted),2015,2466
All drivers and riders,All,70 and over,FSC (unadjusted),2016,2685
All drivers and riders,All,70 and over,FSC (unadjusted),2017,2857
All drivers and riders,All,70 and over,FSC (unadjusted),2018,3168
All drivers and riders,All,70 and over,FSC (unadjusted),2019,3120
All drivers and riders,All,70 and over,FSC (unadjusted),2020,2201
All drivers and riders,All,70 and over,FSC (unadjusted),2021,2660
All drivers and riders,All,All ages,FSC (unadjusted),2012,37859
All drivers and riders,All,All ages,FSC (unadjusted),2013,35953
All drivers and riders,All,All ages,FSC (unadjusted),2014,38011
All drivers and riders,All,All ages,FSC (unadjusted),2015,37006
All drivers and riders,All,All ages,FSC (unadjusted),2016,39983
All drivers and riders,All,All ages,FSC (unadjusted),2017,41448
All drivers and riders,All,All ages,FSC (unadjusted),2018,43045
All drivers and riders,All,All ages,FSC (unadjusted),2019,42830
All drivers and riders,All,All ages,FSC (unadjusted),2020,34203
All drivers and riders,All,All ages,FSC (unadjusted),2021,39843
Pedal cyclists,Female,Under 16,FSC (adjusted),2012,72
Pedal cyclists,Female,Under 16,FSC (adjusted),2013,63
Pedal cyclists,Female,Under 16,FSC (adjusted),2014,60
Pedal cyclists,Female,Under 16,FSC (adjusted),2015,57
Pedal cyclists,Female,Under 16,FSC (adjusted),2016,49
Pedal cyclists,Female,Under 16,FSC (adjusted),2017,60
Pedal cyclists,Female,Under 16,FSC (adjusted),2018,39
Pedal cyclists,Female,Under 16,FSC (adjusted),2019,52
Pedal cyclists,Female,Under 16,FSC (adjusted),2020,43
Pedal cyclists,Female,Under 16,FSC (adjusted),2021,59
Pedal cyclists,Female,16,FSC (adjusted),2012,6
Pedal cyclists,Female,16,FSC (adjusted),2013,9
Pedal cyclists,Female,16,FSC (adjusted),2014,14
Pedal cyclists,Female,16,FSC (adjusted),2015,7
Pedal cyclists,Female,16,FSC (adjusted),2016,6
Pedal cyclists,Female,16,FSC (adjusted),2017,7
Pedal cyclists,Female,16,FSC (adjusted),2018,6
Pedal cyclists,Female,16,FSC (adjusted),2019,6
Pedal cyclists,Female,16,FSC (adjusted),2020,8
Pedal cyclists,Female,16,FSC (adjusted),2021,7
Pedal cyclists,Female,17-20,FSC (adjusted),2012,43
Pedal cyclists,Female,17-20,FSC (adjusted),2013,43
Pedal cyclists,Female,17-20,FSC (adjusted),2014,42
Pedal cyclists,Female,17-20,FSC (adjusted),2015,39
Pedal cyclists,Female,17-20,FSC (adjusted),2016,28
Pedal cyclists,Female,17-20,FSC (adjusted),2017,34
Pedal cyclists,Female,17-20,FSC (adjusted),2018,34
Pedal cyclists,Female,17-20,FSC (adjusted),2019,38
Pedal cyclists,Female,17-20,FSC (adjusted),2020,35
Pedal cyclists,Female,17-20,FSC (adjusted),2021,23
Pedal cyclists,Female,21-24,FSC (adjusted),2012,59
Pedal cyclists,Female,21-24,FSC (adjusted),2013,69
Pedal cyclists,Female,21-24,FSC (adjusted),2014,85
Pedal cyclists,Female,21-24,FSC (adjusted),2015,69
Pedal cyclists,Female,21-24,FSC (adjusted),2016,64
Pedal cyclists,Female,21-24,FSC (adjusted),2017,57
Pedal cyclists,Female,21-24,FSC (adjusted),2018,58
Pedal cyclists,Female,21-24,FSC (adjusted),2019,48
Pedal cyclists,Female,21-24,FSC (adjusted),2020,56
Pedal cyclists,Female,21-24,FSC (adjusted),2021,55
Pedal cyclists,Female,25-29,FSC (adjusted),2012,130
Pedal cyclists,Female,25-29,FSC (adjusted),2013,123
Pedal cyclists,Female,25-29,FSC (adjusted),2014,113
Pedal cyclists,Female,25-29,FSC (adjusted),2015,109
Pedal cyclists,Female,25-29,FSC (adjusted),2016,94
Pedal cyclists,Female,25-29,FSC (adjusted),2017,88
Pedal cyclists,Female,25-29,FSC (adjusted),2018,111
Pedal cyclists,Female,25-29,FSC (adjusted),2019,95
Pedal cyclists,Female,25-29,FSC (adjusted),2020,110
Pedal cyclists,Female,25-29,FSC (adjusted),2021,106
Pedal cyclists,Female,30-39,FSC (adjusted),2012,178
Pedal cyclists,Female,30-39,FSC (adjusted),2013,180
Pedal cyclists,Female,30-39,FSC (adjusted),2014,203
Pedal cyclists,Female,30-39,FSC (adjusted),2015,159
Pedal cyclists,Female,30-39,FSC (adjusted),2016,156
Pedal cyclists,Female,30-39,FSC (adjusted),2017,170
Pedal cyclists,Female,30-39,FSC (adjusted),2018,153
Pedal cyclists,Female,30-39,FSC (adjusted),2019,166
Pedal cyclists,Female,30-39,FSC (adjusted),2020,141
Pedal cyclists,Female,30-39,FSC (adjusted),2021,146
Pedal cyclists,Female,40-49,FSC (adjusted),2012,156
Pedal cyclists,Female,40-49,FSC (adjusted),2013,158
Pedal cyclists,Female,40-49,FSC (adjusted),2014,182
Pedal cyclists,Female,40-49,FSC (adjusted),2015,169
Pedal cyclists,Female,40-49,FSC (adjusted),2016,154
Pedal cyclists,Female,40-49,FSC (adjusted),2017,151
Pedal cyclists,Female,40-49,FSC (adjusted),2018,148
Pedal cyclists,Female,40-49,FSC (adjusted),2019,150
Pedal cyclists,Female,40-49,FSC (adjusted),2020,146
Pedal cyclists,Female,40-49,FSC (adjusted),2021,144
Pedal cyclists,Female,50-59,FSC (adjusted),2012,121
Pedal cyclists,Female,50-59,FSC (adjusted),2013,124
Pedal cyclists,Female,50-59,FSC (adjusted),2014,142
Pedal cyclists,Female,50-59,FSC (adjusted),2015,133
Pedal cyclists,Female,50-59,FSC (adjusted),2016,147
Pedal cyclists,Female,50-59,FSC (adjusted),2017,153
Pedal cyclists,Female,50-59,FSC (adjusted),2018,177
Pedal cyclists,Female,50-59,FSC (adjusted),2019,157
Pedal cyclists,Female,50-59,FSC (adjusted),2020,170
Pedal cyclists,Female,50-59,FSC (adjusted),2021,171
Pedal cyclists,Female,60-69,FSC (adjusted),2012,43
Pedal cyclists,Female,60-69,FSC (adjusted),2013,40
Pedal cyclists,Female,60-69,FSC (adjusted),2014,59
Pedal cyclists,Female,60-69,FSC (adjusted),2015,48
Pedal cyclists,Female,60-69,FSC (adjusted),2016,50
Pedal cyclists,Female,60-69,FSC (adjusted),2017,61
Pedal cyclists,Female,60-69,FSC (adjusted),2018,54
Pedal cyclists,Female,60-69,FSC (adjusted),2019,68
Pedal cyclists,Female,60-69,FSC (adjusted),2020,88
Pedal cyclists,Female,60-69,FSC (adjusted),2021,88
Pedal cyclists,Female,70 and over,FSC (adjusted),2012,21
Pedal cyclists,Female,70 and over,FSC (adjusted),2013,21
Pedal cyclists,Female,70 and over,FSC (adjusted),2014,24
Pedal cyclists,Female,70 and over,FSC (adjusted),2015,33
Pedal cyclists,Female,70 and over,FSC (adjusted),2016,17
Pedal cyclists,Female,70 and over,FSC (adjusted),2017,20
Pedal cyclists,Female,70 and over,FSC (adjusted),2018,31
Pedal cyclists,Female,70 and over,FSC (adjusted),2019,25
Pedal cyclists,Female,70 and over,FSC (adjusted),2020,37
Pedal cyclists,Female,70 and over,FSC (adjusted),2021,36
Pedal cyclists,Female,All ages,FSC (adjusted),2012,839
Pedal cyclists,Female,All ages,FSC (adjusted),2013,846
