Driver type,Sex [note 1],"Age group [notes 2, 3]",Severity adjustment [note 4],2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Car drivers,All,40-49,FSC (unadjusted),"4,140","3,785","3,944","3,746","3,894","3,971","4,130","4,068","3,079","3,614"
Car drivers,All,50-59,FSC (unadjusted),"3,156","2,933","3,156","3,096","3,333","3,452","3,699","3,641","2,786","3,250"
Car drivers,All,60-69,FSC (unadjusted),"2,041","2,005","2,190","2,001","2,175","2,106","2,348","2,345","1,724","1,965"
Car drivers,All,70 and over,FSC (unadjusted),"1,912","1,986","2,165","2,085","2,346","2,447","2,705","2,673","1,726","2,149"
Car drivers,All,All ages,FSC (unadjusted),"24,185","22,753","23,851","23,298","25,462","26,153","27,607","27,677","21,081","24,808"
Bus or coach drivers,All,Under 16,FSC (unadjusted),0,0,0,0,0,0,0,0,0,0
Bus or coach drivers,All,16,FSC (unadjusted),0,0,0,0,0,0,0,0,0,0
Bus or coach drivers,All,17-20,FSC (unadjusted),4,2,4,2,4,5,5,7,3,3
Bus or coach drivers,All,21-24,FSC (unadjusted),18,16,13,19,21,15,23,18,12,16
Bus or coach drivers,All,25-29,FSC (unadjusted),54,40,34,37,39,50,53,43,17,27
Bus or coach drivers,All,30-39,FSC (unadjusted),148,133,116,107,122,134,134,116,75,95
Bus or coach drivers,All,40-49,FSC (unadjusted),231,208,190,159,119,193,177,185,99,94
Bus or coach drivers,All,50-59,FSC (unadjusted),203,181,224,206,203,215,213,234,123,168
Bus or coach drivers,All,60-69,FSC (unadjusted),110,92,98,88,86,91,103,92,59,81
Bus or coach drivers,All,70 and over,FSC (unadjusted),7,5,10,10,9,9,13,14,9,11
Bus or coach drivers,All,All ages,FSC (unadjusted),872,765,776,700,667,772,782,756,445,549
Light goods vehicle drivers,All,Under 16,FSC (unadjusted),0,1,1,1,0,0,0,0,0,1
Light goods vehicle drivers,All,16,FSC (unadjusted),1,0,0,0,0,2,1,0,1,0
Light goods vehicle drivers,All,17-20,FSC (unadjusted),41,41,34,46,38,35,39,57,43,41
Light goods vehicle drivers,All,21-24,FSC (unadjusted),137,123,112,122,130,120,131,119,120,157
Light goods vehicle drivers,All,25-29,FSC (unadjusted),200,172,219,268,232,247,269,268,219,251
Light goods vehicle drivers,All,30-39,FSC (unadjusted),366,347,402,377,448,493,554,591,510,625
Light goods vehicle drivers,All,40-49,FSC (unadjusted),403,382,434,400,454,417,447,493,369,481
Light goods vehicle drivers,All,50-59,FSC (unadjusted),260,284,307,308,325,363,410,446,354,472
Light goods vehicle drivers,All,60-69,FSC (unadjusted),132,130,130,114,141,144,151,176,178,185
Light goods vehicle drivers,All,70 and over,FSC (unadjusted),13,28,17,33,31,50,48,54,32,68
Light goods vehicle drivers,All,All ages,FSC (unadjusted),"1,792","1,703","1,909","1,900","2,016","2,117","2,289","2,470","2,056","2,582"
Heavy goods vehicle drivers,All,Under 16,FSC (unadjusted),0,0,0,0,0,0,0,0,0,0
