driverType,Sex,ageGroup,Severity,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Car drivers,Male,21-24,All collisions,"10,619","9,884","10,308","10,112","9,522","8,565","7,585","6,966","5,806","6,127"
Car drivers,Male,25-29,All collisions,"12,504","11,711","12,341","12,426","12,256","11,541","10,244","9,486","7,396","7,782"
Car drivers,Male,30-39,All collisions,"21,997","20,584","21,609","21,082","21,304","20,701","19,298","18,352","14,147","15,288"
Car drivers,Male,40-49,All collisions,"20,911","19,571","20,055","19,014","18,092","16,674","15,513","14,226","10,698","11,721"
Car drivers,Male,50-59,All collisions,"14,711","14,052","14,979","14,516","14,183","13,563","12,851","12,051","8,716","9,644"
Car drivers,Male,60-69,All collisions,"9,201","8,960","9,666","8,800","8,586","7,876","7,418","6,965","5,068","5,829"
Car drivers,Male,70 and over,All collisions,"7,540","7,635","8,076","7,601","7,769","7,424","7,537","6,832","4,792","5,460"
Car drivers,Male,All ages,All collisions,"114,190","107,199","113,066","109,718","106,501","98,987","92,005","85,934","64,820","70,286"
Bus or coach drivers,Male,Under 16,All collisions,0,0,0,0,0,0,0,0,0,0
Bus or coach drivers,Male,16,All collisions,1,0,1,0,0,4,1,1,0,0
Bus or coach drivers,Male,17-20,All collisions,21,15,16,12,23,21,38,29,13,9
Bus or coach drivers,Male,21-24,All collisions,134,115,128,105,114,119,121,86,47,61
Bus or coach drivers,Male,25-29,All collisions,340,306,309,281,298,296,262,194,105,114
Bus or coach drivers,Male,30-39,All collisions,"1,022",849,923,820,766,804,708,568,314,383
Bus or coach drivers,Male,40-49,All collisions,"1,509","1,495","1,407","1,226","1,069","1,073",885,790,429,485
Bus or coach drivers,Male,50-59,All collisions,"1,380","1,371","1,454","1,340","1,262","1,200","1,112",972,541,661
Bus or coach drivers,Male,60-69,All collisions,678,606,602,504,480,531,459,391,254,331
Bus or coach drivers,Male,70 and over,All collisions,35,35,49,39,45,43,42,46,15,40
Bus or coach drivers,Male,All ages,All collisions,"5,487","5,088","5,230","4,652","4,330","4,268","3,785","3,206","1,789","2,185"
Light goods vehicle drivers,Male,Under 16,All collisions,0,1,0,1,0,0,0,1,0,3
Light goods vehicle drivers,Male,16,All collisions,2,2,1,3,1,5,0,2,4,0
Light goods vehicle drivers,Male,17-20,All collisions,271,286,255,278,258,222,201,221,169,169
Light goods vehicle drivers,Male,21-24,All collisions,867,825,827,836,793,730,638,578,556,599
Light goods vehicle drivers,Male,25-29,All collisions,"1,323","1,353","1,576","1,682","1,587","1,508","1,354","1,307",966,"1,191"
Light goods vehicle drivers,Male,30-39,All collisions,"2,469","2,462","2,775","2,679","2,765","2,740","2,627","2,753","2,237","2,598"
Light goods vehicle drivers,Male,40-49,All collisions,"2,574","2,529","2,783","2,646","2,371","2,136","2,029","2,052","1,573","1,916"
Light goods vehicle drivers,Male,50-59,All collisions,"1,706","1,809","1,968","1,954","1,867","1,826","1,865","1,813","1,429","1,887"
Light goods vehicle drivers,Male,60-69,All collisions,695,712,781,738,744,698,655,728,671,739
Light goods vehicle drivers,Male,70 and over,All collisions,106,143,114,163,138,181,157,194,126,215
Light goods vehicle drivers,Male,All ages,All collisions,"11,025","11,053","12,141","12,092","11,395","10,693","10,132","10,284","8,256","9,930"
Heavy goods vehicle drivers,Male,Under 16,All collisions,0,0,0,0,0,0,0,0,0,0
Heavy goods vehicle drivers,Male,16,All collisions,0,1,0,0,0,0,0,0,0,0
Heavy goods vehicle drivers,Male,17-20,All collisions,38,31,32,18,33,24,26,25,17,19
Heavy goods vehicle drivers,Male,21-24,All collisions,157,144,208,173,156,131,125,116,74,69
Heavy goods vehicle drivers,Male,25-29,All collisions,403,388,396,442,442,418,350,296,218,224
Heavy goods vehicle drivers,Male,30-39,All collisions,"1,178","1,121","1,260","1,052","1,043","1,007",869,832,603,667
Heavy goods vehicle drivers,Male,40-49,All collisions,"1,909","1,787","1,842","1,680","1,340","1,190","1,008",917,695,739
Heavy goods vehicle drivers,Male,50-59,All collisions,"1,398","1,502","1,559","1,474","1,443","1,189","1,168","1,046",888,943
Heavy goods vehicle drivers,Male,60-69,All collisions,597,523,611,588,527,491,466,414,358,362
Heavy goods vehicle drivers,Male,70 and over,All collisions,46,46,50,48,45,45,46,53,24,37
Heavy goods vehicle drivers,Male,All ages,All collisions,"6,082","5,880","6,280","5,889","5,314","4,695","4,259","3,893","3,021","3,194"
Other or unknown vehicle drivers,Male,Under 16,All collisions,29,21,29,19,23,27,26,24,65,202
Other or unknown vehicle drivers,Male,16,All collisions,11,10,10,9,7,15,10,10,27,54
Other or unknown vehicle drivers,Male,17-20,All collisions,98,88,100,80,76,93,93,74,125,256
Other or unknown vehicle drivers,Male,21-24,All collisions,155,106,127,122,149,172,127,113,155,206
Other or unknown vehicle drivers,Male,25-29,All collisions,191,153,160,160,205,248,224,144,189,267
Other or unknown vehicle drivers,Male,30-39,All collisions,408,289,311,335,397,507,478,343,392,504
Other or unknown vehicle drivers,Male,40-49,All collisions,463,349,308,364,506,511,423,299,250,328
Other or unknown vehicle drivers,Male,50-59,All collisions,298,272,318,374,436,433,472,318,292,320
Other or unknown vehicle drivers,Male,60-69,All collisions,186,176,153,201,209,220,201,167,153,173
Other or unknown vehicle drivers,Male,70 and over,All collisions,145,143,150,158,160,157,180,129,101,115
Other or unknown vehicle drivers,Male,All ages,All collisions,"2,137","1,709","1,803","2,001","2,376","2,655","2,509","1,812","1,912","2,640"
All drivers and riders,Male,Under 16,All collisions,"1,888","1,727","1,803","1,751","1,797","2,048","1,848","1,875","1,583","1,702"
All drivers and riders,Male,16,All collisions,"1,257","1,032","1,016",898,870,917,693,665,611,602
All drivers and riders,Male,17-20,All collisions,"13,839","12,253","12,882","12,401","11,775","10,941","9,724","9,292","7,407","8,443"
All drivers and riders,Male,21-24,All collisions,"15,531","14,894","15,756","15,414","14,653","13,297","11,602","10,696","9,067","9,845"
All drivers and riders,Male,25-29,All collisions,"18,543","17,911","19,361","19,426","19,160","18,287","16,370","15,235","12,375","13,225"
All drivers and riders,Male,30-39,All collisions,"33,518","31,738","33,992","32,433","32,724","32,054","30,248","28,921","23,296","25,563"
All drivers and riders,Male,40-49,All collisions,"33,610","31,953","32,991","30,882","28,874","26,651","24,648","22,809","17,497","19,110"
All drivers and riders,Male,50-59,All collisions,"23,086","22,698","24,551","23,872","23,376","22,348","21,568","20,086","15,453","17,214"
All drivers and riders,Male,60-69,All collisions,"12,702","12,331","13,393","12,238","12,044","11,339","10,776","10,210","8,089","9,106"
All drivers and riders,Male,70 and over,All collisions,"8,347","8,477","8,969","8,562","8,714","8,469","8,577","7,878","5,732","6,545"
All drivers and riders,Male,All ages,All collisions,"173,166","164,983","175,667","169,251","163,849","153,964","143,361","134,592","106,240","116,894"
Pedal cyclists,All,Under 16,All collisions,"2,193","1,946","2,007","1,923","1,967","2,214","1,947","1,999","1,670","1,646"
Pedal cyclists,All,16,All collisions,337,338,399,345,354,357,303,306,281,280
Pedal cyclists,All,17-20,All collisions,"1,478","1,402","1,463","1,218","1,219","1,200","1,090",963,939,"1,213"
Pedal cyclists,All,21-24,All collisions,"1,684","1,733","1,857","1,587","1,456","1,440","1,263","1,179","1,141","1,232"
Pedal cyclists,All,25-29,All collisions,"2,282","2,436","2,667","2,310","2,239","2,150","2,080","1,974","1,885","1,905"
Pedal cyclists,All,30-39,All collisions,"4,139","4,349","4,724","4,008","3,929","3,784","3,697","3,623","3,262","3,374"
Pedal cyclists,All,40-49,All collisions,"3,707","3,881","4,299","3,778","3,503","3,375","3,167","3,000","2,762","2,613"
Pedal cyclists,All,50-59,All collisions,"2,014","2,150","2,534","2,439","2,451","2,530","2,547","2,382","2,585","2,484"
Pedal cyclists,All,60-69,All collisions,798,783,960,789,896,911,969,926,"1,131","1,126"
